step_local,v_x,v_y,v_z,w_x,w_y,w_z,a_x,a_y,a_z,aw_x,aw_y,aw_z,is_inference_window
0,-0.0001099420279647954,0.0009543251410371196,0.00026417136543280874,0.001621328717166114,0.00025630186869644373,0.0016773233499233627,-0.01099420279647954,0.09543251410371195,0.026417136543280872,0.1621328717166114,0.025630186869644373,0.16773233499233628,0
1,-0.0007055566249332007,0.0014121210218683796,-2.577507509953216e-05,0.0026981467098935053,0.001305507200659181,0.0019463220558993892,-0.05956145969684052,0.045779588083126,-0.028994644053234087,0.10768179927273913,0.10492053319627372,0.026899870597602644,0
2,-0.001651894772560174,0.00197507788238733,-0.00025158994851484954,0.003552553231073585,0.0030741925377681585,0.003045189356239915,-0.09463381476269732,0.05629568605189502,-0.022581487341531738,0.08544065211800798,0.17686853371089775,0.10988673003405258,0
3,-0.002874133718884819,0.003317564461639989,-0.00022327089124363724,0.005723210882462771,0.00564192498037565,0.0032435263680343366,-0.1222238946324645,0.1342486579252659,0.0028319057271212304,0.21706576513891854,0.25677324426074916,0.019833701179442158,0
4,-0.004427679578613346,0.004361295707799986,-0.0004902941412050034,0.006819751323129992,0.008596134240975615,0.0035890228837014496,-0.1553545859728527,0.10437312461599974,-0.026702324996136614,0.10965404406672215,0.2954209260599964,0.0345496515667113,1
5,-0.007187345217073251,0.008759705181164581,-0.00020859109729301473,0.012433009453718467,0.01364037823875836,0.007516562885916673,-0.2759665638459905,0.43984094733645945,0.02817030439119886,0.5613258130588475,0.5044243997782746,0.3927540002215224,1
6,-0.010979284055550079,0.014289058317496148,-0.0009923107316253555,0.015676515470312964,0.020323593934761776,0.012352481430056498,-0.37919388384768277,0.5529353136331566,-0.07837196343323408,0.3243506016594497,0.6683215696003415,0.4835918544139824,1
7,-0.014868357250503764,0.022112657051997248,-0.0012093538196542447,0.023595614218539125,0.029558727010005847,0.016154088324871647,-0.3889073194953685,0.7823598734501099,-0.021704308802888917,0.7919098748226161,0.9235133075244071,0.380160689481515,1
8,-0.018404220817099397,0.030068407583214628,-0.001713902805001031,0.02835020931804555,0.037133744265323246,0.02159494745520542,-0.35358635665956334,0.795575053121738,-0.05045489853467862,0.4754595099506424,0.7575017255317399,0.5440859130333774,1
9,-0.022048630431078818,0.03962649913308103,-0.0022028570088837656,0.034220120542254304,0.044176780830993016,0.029171838543944135,-0.3644409613979421,0.95580915498664,-0.04889542038827347,0.5869911224208754,0.704303656566977,0.7576891088738713,1
