Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-233757
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.4624474048614502
MGT,0.5
PRED_MU,0.4608795642852783
MU_GT,N/A
MASS_MAE,0.037552595138549805
MASS_NMAE_PCT,1.9764523757131478
MASS_NRMSE_PCT,1.9764523757131478
MASS_SMAPE_PCT,7.803563072406168
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
