Parameter,Value
RUN_ID,1
TIMESTAMP,20260227-182902
OBJECT,wooden_cube_0.348
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,380
CTX_START_ABS,357
CTX_END_ABS,457
INF_START_ABS,377
INF_END_ABS,437
