Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-230033
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,377
PRED_MASS_KG,0.7208804488182068
MGT,0.68
PRED_MU,0.4490273594856262
MU_GT,N/A
MASS_MAE,0.04088044881820674
MASS_NMAE_PCT,2.151602569379302
MASS_NRMSE_PCT,2.151602569379302
MASS_SMAPE_PCT,5.83639365553196
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
