Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223731
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.7658704519271851
MGT,0.95
PRED_MU,0.43792784214019775
MU_GT,N/A
MASS_MAE,0.1841295480728149
MASS_NMAE_PCT,9.691028845937627
MASS_NRMSE_PCT,9.691028845937627
MASS_SMAPE_PCT,21.46194054055879
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
