Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,color_cubes_ycb_green_rub
OBJECT,color_cubes_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.99_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-231409
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,377
PRED_MASS_KG,0.946043848991394
MGT,0.99
PRED_MU,0.38736844062805176
MU_GT,N/A
MASS_MAE,0.04395615100860595
MASS_NMAE_PCT,2.313481632031892
MASS_NRMSE_PCT,2.313481632031892
MASS_SMAPE_PCT,4.540821844660744
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
