Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-222902
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,375
PRED_MASS_KG,0.7932894229888916
MGT,0.84
PRED_MU,0.4400003254413605
MU_GT,N/A
MASS_MAE,0.04671057701110837
MASS_NMAE_PCT,2.4584514216372826
MASS_NRMSE_PCT,2.4584514216372826
MASS_SMAPE_PCT,5.719816262035031
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
