Parameter,Value
RUN_ID,1
TIMESTAMP,20260227-184636
OBJECT,nolid_cube_0.390
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,380
CTX_START_ABS,357
CTX_END_ABS,457
INF_START_ABS,377
INF_END_ABS,437
