Parameter,Value
RUN_ID,3
TIMESTAMP,20260226-234153
OBJECT,colored_cubes_0.989
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,378
CTX_START_ABS,355
CTX_END_ABS,455
INF_START_ABS,375
INF_END_ABS,435
