step_local,v_y,a_y,is_inference_region
0,0.07871068476417989,0.02535428549040597,0
1,0.07563770784229432,-0.3072976921885573,0
2,0.0750343440347056,-0.06033638075887138,0
3,0.07517870428354136,0.014436024883575371,0
4,0.07504319242291892,-0.013551186062243925,0
5,0.07674918414287682,0.17059917199579028,0
6,0.07320294161562575,-0.3546242527251067,0
7,0.07855252422014525,0.5349582604519495,0
8,0.07910957192234591,0.05570477022006637,0
9,0.08168613244325094,0.2576560520905033,0
10,0.08264534169513842,0.09592092518874717,0
11,0.08000171309219599,-0.2643628602942427,0
12,0.08148364337355087,0.14819302813548763,0
13,0.07797353212530868,-0.3510111248242187,0
14,0.08000658418935024,0.20330520640415572,0
15,0.08274519665543556,0.27386124660853245,0
16,0.07944230286000982,-0.33028937954257404,0
17,0.08066396718266076,0.1221664322650945,0
18,0.07884664386334621,-0.18173233193145566,0
19,0.07817034832563706,-0.06762955377091484,0
20,0.07842479153708232,0.025444321144525717,1
21,0.07571538749541519,-0.27094040416671267,1
22,0.07898446226210665,0.3269074766691457,1
23,0.0726221905387455,-0.6362271723361151,1
24,0.07108457157598067,-0.15376189627648307,1
25,0.07057486657231943,-0.05097050036612372,1
26,0.07074239353471444,0.016752696239501208,1
27,0.0726166141265927,0.18742205918782645,1
28,0.07276099644600845,0.014438231941574231,1
29,0.0738508265169577,0.10898300709492464,1
30,0.06903271133118007,-0.4818115185777627,1
31,0.06986113580235825,0.0828424471178188,1
32,0.07411236890876738,0.42512331064091247,1
33,0.07271094459343219,-0.14014243153351869,1
34,0.07080853644982918,-0.19024081436030127,1
35,0.0741479573855474,0.3339420935718221,1
36,0.0710351160006739,-0.3112841384873499,1
37,0.07023436862666921,-0.08007473740046928,1
38,0.07032925286340902,0.009488423673981172,1
39,0.07207184498512315,0.1742592121714126,1
40,0.07217951567061438,0.010767068549123737,1
41,0.07645347899787916,0.42739633272647765,1
42,0.07661648620013761,0.016300720225845278,1
43,0.07576844391090862,-0.08480422892289952,1
44,0.0764638266977856,0.06953827868769885,1
45,0.07614263532533964,-0.03211913724459614,1
46,0.07810504044634269,0.19624051210030413,1
47,0.08059653636009993,0.24914959137572468,1
48,0.08064328154317274,0.004674518307280773,1
49,0.0788409448024065,-0.18023367407662416,1
50,0.07858043550415479,-0.02605092982517071,1
51,0.07747093560162677,-0.11094999025280244,1
52,0.07911335721321387,0.16424216115871054,1
53,0.08030109506680944,0.11877378535955635,1
54,0.08305816742250009,0.2757072355690657,1
55,0.07984223929247403,-0.3215928130026066,1
56,0.08053502485703906,0.06927855645650349,1
57,0.07682157616071263,-0.3713448696326435,1
58,0.08153658665766073,0.47150104969480994,1
59,0.08065891564113677,-0.08776710165239593,1
60,0.08102760230473771,0.036868666360094504,1
61,0.07905964288901092,-0.19679594157267916,1
62,0.07750666577298074,-0.15529771160301825,1
63,0.07869680819143092,0.11901424184501824,1
64,0.07880873795660463,0.011192976517371278,1
65,0.07656285622456832,-0.22458817320363117,1
66,0.07867598487955312,0.21131286549847944,1
67,0.07366953625543432,-0.5006448624118794,1
68,0.07542922258692734,0.1759686331493024,1
69,0.07535141143749803,-0.007781114942931322,1
70,0.07630833993540558,0.09569284979075443,1
71,0.07530559844615718,-0.10027414892483932,1
72,0.0780967161109879,0.2791117664830714,1
73,0.0785068844526314,0.04101683416435076,1
74,0.07615901303894312,-0.23478714136882795,1
75,0.0771884370017571,0.1029423962813969,1
76,0.07711989307570788,-0.006854392604921378,1
77,0.0784782864173674,0.13583933416595195,1
78,0.08188663872796026,0.34083523105928604,1
79,0.07943737114987988,-0.24492675780803802,1
80,0.0797299113912975,0.029254024141761592,0
81,0.07580939783689412,-0.3920513554403371,0
82,0.08172468023464773,0.5915282397753602,0
83,0.07875336859471785,-0.2971311639929877,0
84,0.07882000745002082,0.006663885530297509,0
85,0.08278440893190597,0.3964401481885149,0
86,0.07823782899101925,-0.45465799408867247,0
87,0.07821680793678744,-0.0021021054231809555,0
88,0.07953852769815535,0.1321719761367912,0
89,0.08030510228213263,0.07665745839772753,0
90,0.07675109116613346,-0.35540111159991644,0
91,0.07965807758211454,0.2906986415981083,0
92,0.0774444519094006,-0.22136256727139508,0
93,0.07704542361942272,-0.039902828997787076,0
94,0.07596154992227488,-0.10838736971478385,0
95,0.07803841178924721,0.20768618669723266,0
96,0.07986576167940243,0.18273498901552193,0
97,0.07828858236774,-0.157717931166243,0
98,0.07971182062015428,0.14232382524142773,0
99,0.07944120928821764,-0.02706113319366349,0
