Parameter,Value
RUN_ID,1
TIMESTAMP,20260226-233454
OBJECT,blue_cylinder_0.376
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,403
CTX_START_ABS,380
CTX_END_ABS,480
INF_START_ABS,400
INF_END_ABS,460
