Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-222621
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,380
PRED_MASS_KG,0.2585814595222473
MGT,0.39
PRED_MU,0.3003079891204834
MU_GT,N/A
MASS_MAE,0.1314185404777527
MASS_NMAE_PCT,6.916765288302774
MASS_NRMSE_PCT,6.916765288302774
MASS_SMAPE_PCT,40.52491434909568
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
