Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v1_data
TIMESTAMP,20260223-233055
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.6363707780838013
MGT,0.68
PRED_MU,0.412166953086853
MU_GT,N/A
MASS_MAE,0.04362922191619878
MASS_NMAE_PCT,2.2962748376946727
MASS_NRMSE_PCT,2.2962748376946727
MASS_SMAPE_PCT,6.6287132231404335
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
