Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-230959
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,404
PRED_MASS_KG,0.30283939838409424
MGT,0.35
PRED_MU,0.45379796624183655
MU_GT,N/A
MASS_MAE,0.04716060161590574
MASS_NMAE_PCT,2.4821369271529337
MASS_NRMSE_PCT,2.4821369271529337
MASS_SMAPE_PCT,14.44784176097138
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
