Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-230928
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,383
PRED_MASS_KG,0.6267403960227966
MGT,0.35
PRED_MU,0.37930232286453247
MU_GT,N/A
MASS_MAE,0.27674039602279665
MASS_NMAE_PCT,14.565284001199824
MASS_NRMSE_PCT,14.565284001199824
MASS_SMAPE_PCT,56.666110493568176
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
