Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-224914
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.8590958118438721
MGT,0.95
PRED_MU,0.3703483045101166
MU_GT,N/A
MASS_MAE,0.09090418815612789
MASS_NMAE_PCT,4.7844309555856785
MASS_NRMSE_PCT,4.7844309555856785
MASS_SMAPE_PCT,10.04968200810506
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
