Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225843
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.8658829927444458
MGT,0.58
PRED_MU,0.48131340742111206
MU_GT,N/A
MASS_MAE,0.28588299274444584
MASS_NMAE_PCT,15.046473302339255
MASS_NRMSE_PCT,15.046473302339255
MASS_SMAPE_PCT,39.544415997563995
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
