Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-234029
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,380
PRED_MASS_KG,0.3239825367927551
MGT,0.39
PRED_MU,0.4375891089439392
MU_GT,N/A
MASS_MAE,0.06601746320724489
MASS_NMAE_PCT,3.4746033266970997
MASS_NRMSE_PCT,3.4746033266970997
MASS_SMAPE_PCT,18.492738913138858
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
