Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-233121
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.6200151443481445
MGT,0.68
PRED_MU,0.40369731187820435
MU_GT,N/A
MASS_MAE,0.05998485565185552
MASS_NMAE_PCT,3.157097665887133
MASS_NRMSE_PCT,3.157097665887133
MASS_SMAPE_PCT,9.228331825616262
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
