Parameter,Value
RUN_ID,3
TIMESTAMP,20260226-133148
OBJECT,nolid_cube_1.123
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,696
GLOBAL_IMPACT_STEP,375
CTX_START_ABS,352
CTX_END_ABS,452
INF_START_ABS,372
INF_END_ABS,432
