Parameter,Value
RUN_ID,4
TIMESTAMP,20260227-214722
OBJECT,nolid_cube_0.598
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,370
CTX_START_ABS,347
CTX_END_ABS,447
INF_START_ABS,367
INF_END_ABS,427
