Parameter,Value
RUN_ID,7
TIMESTAMP,20260225-000343
OBJECT,nolid_cube
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,380
CTX_START_ABS,357
CTX_END_ABS,457
INF_START_ABS,377
INF_END_ABS,437
