Parameter,Value
RUN_ID,10
TIMESTAMP,20260226-180453
OBJECT,blue_cylinder_0.376
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,696
GLOBAL_IMPACT_STEP,370
CTX_START_ABS,347
CTX_END_ABS,447
INF_START_ABS,367
INF_END_ABS,427
