Parameter,Value
RUN_ID,8
TIMESTAMP,20260226-180400
OBJECT,blue_cylinder_0.376
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,696
GLOBAL_IMPACT_STEP,372
CTX_START_ABS,349
CTX_END_ABS,449
INF_START_ABS,369
INF_END_ABS,429
