Parameter,Value
RUN_ID,5
TIMESTAMP,20260226-180241
OBJECT,blue_cylinder_0.376
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,696
GLOBAL_IMPACT_STEP,385
CTX_START_ABS,362
CTX_END_ABS,462
INF_START_ABS,382
INF_END_ABS,442
