Parameter,Value
RUN_ID,6
TIMESTAMP,20260301-164728
OBJECT,wooden_cube_even_0.348
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,388
CTX_START_ABS,365
CTX_END_ABS,465
INF_START_ABS,385
INF_END_ABS,445
