Parameter,Value
RUN_ID,4
TIMESTAMP,20260301-164635
OBJECT,wooden_cube_even_0.348
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,379
CTX_START_ABS,356
CTX_END_ABS,456
INF_START_ABS,376
INF_END_ABS,436
