Parameter,Value
RUN_ID,5
TIMESTAMP,20260301-164701
OBJECT,wooden_cube_even_0.348
SURFACE,green_rub
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,371
CTX_START_ABS,348
CTX_END_ABS,448
INF_START_ABS,368
INF_END_ABS,428
