Parameter,Value
RUN_ID,9
TIMESTAMP,20260227-181253
OBJECT,wooden_cube_0.348
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,404
CTX_START_ABS,381
CTX_END_ABS,481
INF_START_ABS,401
INF_END_ABS,461
