step_global,v_y,a_y,is_inference_region
0,8.974872659290787e-05,0.008974872659290787,0
1,-0.0005341082568497738,-0.062385698344268166,0
2,-7.945759039804788e-05,0.04546506664517259,0
3,0.0018157474167906772,0.18952050071887253,0
4,0.003276638430707532,0.14608910139168546,0
5,0.006890295825864974,0.3613657395157442,0
6,0.012319668794330309,0.5429372968465335,0
7,0.018600079268682772,0.6280410474352464,0
8,0.02547516912905352,0.6875089860370748,0
9,0.03261750849043997,0.7142339361386449,0
10,0.03965493813104123,0.7037429640601257,0
11,0.046483730304047524,0.6828792173006297,0
12,0.05240406439724551,0.5920334093197983,0
13,0.05733270423858609,0.4928639841340579,0
14,0.06276131258742743,0.542860834884134,0
15,0.0668838968600088,0.41225842725813727,0
16,0.07002190592918901,0.3138009069180214,0
17,0.07335695520314463,0.3335049273955615,0
18,0.07656719366886344,0.3210238465718815,0
19,0.0789556948042629,0.23885011353994567,0
20,0.08206942760812058,0.3113732803857683,0
21,0.08421045579504678,0.21410281869262,0
22,0.08553090466722615,0.13204488721793722,0
23,0.0860070018815623,0.04760972143361408,0
24,0.08602645898520482,0.001945710364252562,0
25,0.08449963446789419,-0.15268245173106348,0
26,0.08364434385813416,-0.08552906097600288,0
27,0.08281852107427848,-0.08258227838556786,0
28,0.08210072764337277,-0.07177934309057082,0
29,0.08078776215542291,-0.13129654879498603,0
30,0.08075601164483723,-0.00317505105856819,0
31,0.07935909872302536,-0.1396912921811863,0
32,0.07928450544870988,-0.007459327431548479,0
33,0.07858586031057692,-0.06986451381329611,0
34,0.07841729669434054,-0.016856361623637794,0
35,0.07716279153917016,-0.12545051551703795,0
36,0.07706099898876353,-0.010179255040662638,0
37,0.07643959353039617,-0.06214054583673634,0
38,0.07634788023322345,-0.009171329717272414,0
39,0.07590553744237752,-0.044234279084592876,0
40,0.07624641609860064,0.03408786562231203,0
41,0.07628468751553022,0.003827141692958058,0
42,0.07589084746345773,-0.03938400520724916,0
43,0.07528556673461004,-0.060528072884769024,0
44,0.07553521981775661,0.02496530831465754,0
45,0.07479124385653653,-0.07439759612200836,0
46,0.07470648211509727,-0.008476174143925985,0
47,0.07508966235115727,0.03831802360600017,0
48,0.07551908006073153,0.042941770957426184,0
49,0.07572728661653935,0.02082065558078189,0
50,0.07603694242238496,0.030965580584560448,0
51,0.07672993770029571,0.06929952779107518,0
52,0.07636189697916636,-0.03680407211293507,0
53,0.07688097865601728,0.05190816768509271,0
54,0.0771556101610776,0.027463150506031042,0
55,0.07766565151218861,0.0510041351111018,0
56,0.07756253525155335,-0.010311626063526369,0
57,0.07798341185255472,0.042087660100137425,0
58,0.07850759833121862,0.05241864786638961,0
59,0.0789555409279669,0.04479425967482825,0
60,0.0797260379424719,0.07704970145050033,0
61,0.07991015716961283,0.018411922714092754,0
62,0.08020084370851557,0.02906865389027402,0
63,0.08064005736561189,0.043921365709631566,0
64,0.08024765516305307,-0.0392402202558817,0
65,0.08041611535981018,0.01684601967571059,0
66,0.08021111055763679,-0.02050048021733919,0
67,0.07972833891791697,-0.048277163971981174,0
68,0.07859613260779766,-0.11322063101193158,0
69,0.07808817713201603,-0.05079554757816268,0
70,0.0777044826986834,-0.03836944333326375,0
71,0.07752348167751291,-0.01810010211704821,0
72,0.07810205643296494,0.05785747554520326,0
73,0.07817971677975498,0.007766034679003442,0
74,0.07859611803929563,0.041640125954064966,0
75,0.07697662729611336,-0.1619490743182267,0
76,0.07745927906428607,0.04826517681727066,0
77,0.0760982858756582,-0.1360993188627868,0
78,0.0759924382863905,-0.010584758926769633,0
79,0.07564807544715917,-0.034436283923133804,0
80,0.07686985969098406,0.12217842438248944,0
81,0.07719815744957462,0.032829775859055665,0
82,0.07840924018967618,0.12110827401015656,0
83,0.07898295504591789,0.05737148562417055,0
84,0.07912194870209532,0.013899365617743575,0
85,0.07910818762656949,-0.0013761075525836608,0
86,0.07845629838967721,-0.06518892368922724,0
87,0.07810376022000533,-0.03525381696718871,0
88,0.0780794861398472,-0.0024274080158120936,0
89,0.07759313074999893,-0.04863553898482725,0
90,0.07792443852381513,0.03313077738161946,0
91,0.0783338920311797,0.04094535073645711,0
92,0.07850986475019736,0.01759727190176613,0
93,0.07879008632556003,0.028022157536267134,0
94,0.07848572645453958,-0.030435987102045425,0
95,0.0787606087662338,0.027488231169421617,0
96,0.0782300403286405,-0.05305684375932901,0
97,0.07807814355026735,-0.015189677837315618,0
98,0.07757516774603102,-0.050297580423633304,0
99,0.0775610644195562,-0.001410332647482082,0
100,0.07699468583186511,-0.05663785876910826,0
101,0.0763249021523833,-0.06697836794818113,0
102,0.075590081425542,-0.07348207268413065,0
103,0.07418947591178371,-0.1400605513758285,0
104,0.07429955814040407,0.011008222862035622,0
105,0.07396633523023204,-0.03332229101720291,0
106,0.07404648788807945,0.008015265784741543,0
107,0.07567333428721315,0.16268463991336995,0
108,0.07624720244787733,0.057386816066418156,0
109,0.07723419641394814,0.09869939660708121,0
110,0.07845314261519168,0.12189462012435343,0
111,0.07917830218721741,0.07251595720257353,0
112,0.07957027333103658,0.039197114381916975,0
113,0.07984583177594845,0.027555844491186643,0
114,0.08011805334809916,0.027222157215070486,0
115,0.07888036462730566,-0.1237688720793495,0
116,0.07889548409624414,0.0015119468938479264,0
117,0.07750075216193913,-0.13947319343050046,0
118,0.07723945218208216,-0.026129997985697984,0
119,0.07732282689144085,0.008337470935869395,0
120,0.07790160490663406,0.05787780151932098,0
121,0.07837220478002986,0.04705998733958022,0
122,0.07861074733973597,0.023854255970610916,0
123,0.07930177581243589,0.06910284726999172,0
124,0.07863898954712395,-0.06627862653119376,0
125,0.07886703712006919,0.02280475729452419,0
126,0.07886725699054592,2.1987047672811233e-05,0
127,0.07899175019398312,0.012449320343720094,0
128,0.07894925224587798,-0.004249794810513852,0
129,0.07879492031719912,-0.015433192867886358,0
130,0.07913532605166362,0.034040573446450506,0
131,0.078213479839736,-0.09218462119276183,0
132,0.07795480626035692,-0.02586735793790873,0
133,0.07725491704256078,-0.06998892177961374,0
134,0.07736449696826898,0.010957992570820307,0
135,0.0760004259676408,-0.13640710006281864,0
136,0.07521218615503464,-0.0788239812606159,0
137,0.07500144312279833,-0.02107430322363102,0
138,0.07506611375535358,0.006467063255524708,0
139,0.07459635540283346,-0.0469758352520111,0
140,0.07566052147871051,0.1064166075877046,0
141,0.07658671096102328,0.0926189482312767,0
142,0.07847926299823912,0.18925520372158472,0
143,0.08034119660390589,0.1861933605666763,0
144,0.08273422628093927,0.23930296770333787,0
145,0.08441514197626533,0.16809156953260657,0
146,0.08763504711632022,0.32199051400548934,0
147,0.08795124604518409,0.03161989288638645,0
148,0.08873092338841443,0.07796773432303394,0
149,0.08861504060311803,-0.011588278529639506,0
150,0.0881885739131535,-0.04264666899645303,0
151,0.08688321230404772,-0.13053616091057846,0
152,0.08661905588818677,-0.02641564158609444,0
153,0.0860004868399131,-0.06185690482736761,0
154,0.08614984759384656,0.014936075393345849,0
155,0.0853323863257158,-0.08174612681307591,0
156,0.08532601411479433,-0.0006372210921465338,0
157,0.08447566193659942,-0.08503521781949158,0
158,0.0834699563328247,-0.10057056037747203,0
159,0.08283110569688026,-0.06388506359444324,0
160,0.0830536642656842,0.02225585688039322,0
161,0.08277523595935403,-0.02784283063301668,0
162,0.0828385243909225,0.006328843156847008,0
163,0.08266220043886008,-0.017632395206242102,0
164,0.08226117288233249,-0.040102755652758615,0
165,0.0810685719198964,-0.11926009624360911,0
166,0.08006483970007287,-0.10037322198235277,0
167,0.07941134721548095,-0.06534924845919277,0
168,0.07986315593277438,0.0451808717293431,0
169,0.07937263794337279,-0.04905179894015843,0
170,0.07870294429737237,-0.06696936460004188,0
171,0.07888710182500899,0.01841575276366192,0
172,0.07893898701548915,0.005188519048016094,0
173,0.07814728512004113,-0.0791701895448027,0
174,0.07768231072637348,-0.0464974393667647,0
175,0.07767692548001104,-0.0005385246362440976,0
176,0.0771783033724065,-0.04986221076045405,0
177,0.07647361776248274,-0.07046856099237608,0
178,0.07578602673543015,-0.06875910270525837,0
179,0.07610499090486528,0.03189641694351236,0
180,0.0762127103652241,0.010771946035882662,0
181,0.07602104247811295,-0.01916678871111549,0
182,0.07558215487359213,-0.04388876045208212,0
183,0.07631054473027539,0.0728389856683262,0
184,0.07608639764163175,-0.022414708864364197,0
185,0.07621330065887498,0.012690301724323227,0
186,0.07646693656654706,0.025363590767207844,0
187,0.07716564790940535,0.0698711342858288,0
188,0.07704600099898047,-0.01196469104248754,0
189,0.07657810398126887,-0.046789701771160486,0
190,0.07640370250352238,-0.017440147774648584,0
191,0.07587751541857819,-0.0526187084944188,0
192,0.07611145308602846,0.023393766745026523,0
193,0.07589548312818281,-0.021596995784564643,0
194,0.07578573951793577,-0.010974361024704282,0
195,0.07655681679939655,0.07710772814607803,0
196,0.0763689488727064,-0.01878679266901495,0
197,0.07675997047833323,0.039102160562683175,0
198,0.07774809456296747,0.0988124084634237,0
199,0.0796121878913932,0.18640933284257283,0
200,0.07897663478482977,-0.06355531065634218,0
201,0.0807824601391901,0.18058253543603298,1
202,0.08047607540632892,-0.03063847328611813,1
203,0.07930238211335354,-0.11736932929753835,1
204,0.07755822223908124,-0.17441598742723025,1
205,0.07825745600755114,0.06992337684699063,1
206,0.07673294701954235,-0.15245089880087936,1
207,0.07647001381088817,-0.026293320865418413,1
208,0.07632547638681839,-0.014453742406977943,1
209,0.07703823406021645,0.07127576733980678,1
210,0.07661308841805085,-0.042514564216560025,1
211,0.07718609063255522,0.05730022145043617,1
212,0.07763461936462794,0.04485287320727255,1
213,0.07826421793746606,0.06295985728381193,1
214,0.07846282662612783,0.01986086886617694,1
215,0.07786582604721569,-0.059700057891214076,1
216,0.0775784959667704,-0.028733008044529162,1
217,0.07717075503685221,-0.04077409299181878,1
218,0.07698806439589659,-0.018269064095562115,1
219,0.07635923710788708,-0.06288272880095036,1
220,0.07752288545403781,0.11636483461507224,1
221,0.07821237540580137,0.06894899517635583,1
222,0.07862336144286056,0.04109860370591911,1
223,0.07858127623660269,-0.004208520625786916,1
224,0.07976246041775567,0.11811841811529833,1
225,0.0798098526485969,0.0047392230841228344,1
226,0.07999171768143833,0.01818650328414273,1
227,0.08012709293922124,0.013537525778291315,1
228,0.08055904204973556,0.04319491105143208,1
229,0.0792143985580731,-0.13446434916624533,1
230,0.0789338109229573,-0.028058763511580598,1
231,0.07883421762871987,-0.009959329423743501,1
232,0.07873236399703103,-0.01018536316888391,1
233,0.07877064481689619,0.003828081986516352,1
234,0.07907807272700737,0.030742791011117987,1
235,0.0792915133698803,0.021344064287293074,1
236,0.07900046868453543,-0.029104468534486838,1
237,0.0787364955906569,-0.026397309387853063,1
238,0.07895904517710609,0.022254958644918332,1
239,0.08006463261086064,0.11055874337545513,1
240,0.08060760218156715,0.05429695707065141,1
241,0.08050618681265354,-0.010141536891361547,1
242,0.08103396888404696,0.05277820713934234,1
243,0.08046105371584315,-0.05729151682038053,1
244,0.0801695996339632,-0.02914540818799577,1
245,0.07944975230149734,-0.07198473324658561,1
246,0.07932833096067096,-0.012142134082637757,1
247,0.07863008201070017,-0.0698248949970795,1
248,0.07873720847651376,0.010712646581359508,1
249,0.0783618133973129,-0.03753950792008687,1
250,0.07840491641285294,0.004310301554004414,1
251,0.07888111185382742,0.047619544097447786,1
252,0.07949501053981962,0.06138986859922091,1
253,0.07938245283933433,-0.011255770048529401,1
254,0.07877595284029995,-0.060649999903437946,1
255,0.07835664837542189,-0.041930446487806194,1
256,0.07750715733699529,-0.0849491038426603,1
257,0.07679479618450971,-0.07123611524855744,1
258,0.07735902054530805,0.05642243607983377,1
259,0.07802851679335693,0.06694962480488786,1
260,0.07880251075897494,0.07739939656180167,1
261,0.08018350230939683,0.13809915504218867,0
