Parameter,Value
RUN_ID,7
TIMESTAMP,20260227-231015
OBJECT,nolid_cube_1.123
SURFACE,wood_smooth
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,377
CTX_START_ABS,354
CTX_END_ABS,454
INF_START_ABS,374
INF_END_ABS,434
