Parameter,Value
RUN_ID,6
TIMESTAMP,20260227-225744
OBJECT,nolid_cube_1.123
SURFACE,wood_rough
SMOOTHING_WINDOW,1
TOTAL_STEPS,698
GLOBAL_IMPACT_STEP,374
CTX_START_ABS,351
CTX_END_ABS,451
INF_START_ABS,371
INF_END_ABS,431
