Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-222519
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.2581087052822113
MGT,0.39
PRED_MU,0.29976311326026917
MU_GT,N/A
MASS_MAE,0.1318912947177887
MASS_NMAE_PCT,6.941647090409932
MASS_NRMSE_PCT,6.941647090409932
MASS_SMAPE_PCT,40.700362035827986
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
