Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v1_data
TIMESTAMP,20260223-233501
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.6390349268913269
MGT,0.95
PRED_MU,0.42073220014572144
MU_GT,N/A
MASS_MAE,0.31096507310867305
MASS_NMAE_PCT,16.366582795193317
MASS_NRMSE_PCT,16.366582795193317
MASS_SMAPE_PCT,39.13885942293574
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
