Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-232658
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,371
PRED_MASS_KG,0.4184955358505249
MGT,0.35
PRED_MU,0.45601019263267517
MU_GT,N/A
MASS_MAE,0.06849553585052492
MASS_NMAE_PCT,3.6050282026592066
MASS_NRMSE_PCT,3.6050282026592066
MASS_SMAPE_PCT,17.825877355219287
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
