step_local,v_y,a_y,is_inference_region
0,0.08031668145451742,-0.05668702818672905,0
1,0.07372562708778332,-0.65910543667341,0
2,0.07213301767459096,-0.1592609413192364,0
3,0.07660979627641354,0.44767786018225786,0
4,0.07758668947968916,0.0976893203275625,0
5,0.08082705706597887,0.3240367586289705,0
6,0.08076651763320443,-0.006053943277443963,0
7,0.08202505413768682,0.1258536504482391,0
8,0.08110704768721504,-0.09180064504717839,0
9,0.08344014000322612,0.23330923160110872,0
10,0.07939217594025298,-0.40479640629731417,0
11,0.0799531981159725,0.05610221757195166,0
12,0.08146991688236699,0.15167187663944898,0
13,0.08134578340665449,-0.012413347571249567,0
14,0.08223788062525932,0.08920972186048232,0
15,0.0802021805875326,-0.2035700037726712,0
16,0.0839193896633533,0.3717209075820696,0
17,0.07987159515968406,-0.40477945036692387,0
18,0.0819886956177421,0.21171004580580327,0
19,0.07475877576312204,-0.7229919854620056,0
20,0.07854897911643065,0.37902033533086105,1
21,0.0766672188199598,-0.1881760296470844,1
22,0.06871414644484501,-0.7953072375114791,1
23,0.0586499026669223,-1.0064243777922712,1
24,0.0563830669894015,-0.22668356775207982,1
25,0.05610803073508132,-0.02750362543201823,1
26,0.05644759700929748,0.033956627421616314,1
27,0.059520896683982305,0.30732996746848235,1
28,0.055074863230631745,-0.444603345335056,1
29,0.05559893101430642,0.05240677836746768,1
30,0.05805349417505053,0.24545631607441054,1
31,0.058025547324854695,-0.002794685019583132,1
32,0.06111331138223406,0.30877640573793647,1
33,0.06247430130002777,0.1360989917793709,1
34,0.060352140060396305,-0.21221612396314649,1
35,0.06166141675342597,0.13092766930296665,1
36,0.0618183783709771,0.015696161755113236,1
37,0.06451533964277069,0.26969612717935854,1
38,0.06780769218205146,0.3292352539280771,1
39,0.06896703068031661,0.11593384982651472,1
40,0.07328384757504842,0.43168168947318175,1
41,0.07099235642803554,-0.22914911470128807,1
42,0.07441726644622154,0.34249100181859976,1
43,0.07517432928564219,0.07570628394206469,1
44,0.07468273978069737,-0.04915895049448227,1
45,0.07593194328466848,0.12492035039711191,1
46,0.07777735670586948,0.18454134212009948,1
47,0.07486136396041027,-0.29159927454592144,1
48,0.0800843472139719,0.522298325356163,1
49,0.07477929196535935,-0.530505524861255,1
50,0.08166990136251102,0.6890609397151678,1
51,0.08107396934933604,-0.059593201317498234,1
52,0.07884923592706378,-0.22247334222722653,1
53,0.08212738026552432,0.3278144338460548,1
54,0.08221490218453929,0.008752191901496842,1
55,0.08323662758709109,0.10217254025517986,1
56,0.08235713184018817,-0.08794957469029224,1
57,0.07930181908142679,-0.30553127587613776,1
58,0.07789390582407879,-0.14079132573480008,1
59,0.08226991207089297,0.4376006246814182,1
60,0.08266513554774463,0.03952234768516555,1
61,0.0800192660503943,-0.2645869497350323,1
62,0.08176140352405421,0.17421374736599077,1
63,0.07964384352725626,-0.21175599967979547,1
64,0.08073256635011129,0.10887228228550344,1
65,0.07653531694096848,-0.4197249409142817,1
66,0.08157201589268642,0.5036698951717946,1
67,0.07972496788821046,-0.18470480044759652,1
68,0.07924789675176126,-0.047707113644919474,1
69,0.07751573478817825,-0.1732161963583015,1
70,0.0755196968650342,-0.19960379231440534,1
71,0.07932105542943192,0.38013585643977277,1
72,0.08069597632290806,0.1374920893476142,1
73,0.07970358256863315,-0.09923937542749145,1
74,0.07940033908545249,-0.030324348318065686,1
75,0.07761468563280048,-0.17856534526520113,1
76,0.0799362238375624,0.23215382047619137,1
77,0.08037263706279298,0.04364132252305808,1
78,0.07864613041673889,-0.1726506646054088,1
79,0.08090303224045611,0.2256901823717225,1
80,0.07721176966673256,-0.36912625737235555,0
81,0.07875178218269073,0.15400125159581723,0
82,0.08046832212510391,0.17165399424131783,0
83,0.07849505550194097,-0.19732666231629392,0
84,0.07991937445467318,0.14243189527322064,0
85,0.0813078895012336,0.1388515046560429,0
86,0.08138789612121092,0.008000661997731306,0
87,0.0796031571090419,-0.17847390121690232,0
88,0.07633564488431026,-0.3267512224731636,0
89,0.07807003441938845,0.1734389535078193,0
90,0.07986323796911395,0.17932035497254945,0
91,0.07676269797563837,-0.3100539993475579,0
92,0.07983226940934357,0.3069571433705204,0
93,0.08149199814257518,0.16597287332316135,0
94,0.07768008834616283,-0.3811909796412355,0
95,0.08166174005275292,0.39816517065900947,0
96,0.07652889701468474,-0.5132843038068186,0
97,0.07836824193762185,0.18393449229371084,0
98,0.07707564599476839,-0.12925959428534556,0
99,0.07509187431288224,-0.1983771681886154,0
