Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-233406
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,379
PRED_MASS_KG,0.6229636669158936
MGT,0.95
PRED_MU,0.4019775390625
MU_GT,N/A
MASS_MAE,0.3270363330841064
MASS_NMAE_PCT,17.21243858337402
MASS_NRMSE_PCT,17.21243858337402
MASS_SMAPE_PCT,41.58218526754987
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
