Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.84_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-222829
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,380
PRED_MASS_KG,0.7819405794143677
MGT,0.84
PRED_MU,0.43920907378196716
MU_GT,N/A
MASS_MAE,0.05805942058563229
MASS_NMAE_PCT,3.055758978191174
MASS_NRMSE_PCT,3.055758978191174
MASS_SMAPE_PCT,7.159253714041207
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
