Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223700
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.7305464148521423
MGT,0.95
PRED_MU,0.43203413486480713
MU_GT,N/A
MASS_MAE,0.21945358514785762
MASS_NMAE_PCT,11.550188691992506
MASS_NRMSE_PCT,11.550188691992506
MASS_SMAPE_PCT,26.11693235109672
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
