Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,color_cubes_ycb_green_rub
OBJECT,color_cubes_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.99_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-232402
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.6261962652206421
MGT,0.99
PRED_MU,0.4031616449356079
MU_GT,N/A
MASS_MAE,0.3638037347793579
MASS_NMAE_PCT,19.14756498838726
MASS_NRMSE_PCT,19.14756498838726
MASS_SMAPE_PCT,45.01974699585036
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
