Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-233639
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.6170023083686829
MGT,0.58
PRED_MU,0.40742379426956177
MU_GT,N/A
MASS_MAE,0.0370023083686829
MASS_NMAE_PCT,1.9474899141412052
MASS_NRMSE_PCT,1.9474899141412052
MASS_SMAPE_PCT,6.182495741233942
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
