step,v_y,a_y,is_context_region,is_inference_region
0,-2.9621234563317883e-05,-0.002962123456331788,0,0
1,-6.421340707045412e-05,-0.003459217250713623,0,0
2,0.0037922856544953844,0.38564990615658384,0,0
3,0.011634489197783322,0.7842203543287938,0,0
4,0.02591145072387447,1.4276961526091148,0,0
5,0.039111830254167264,1.3200379530292794,0,0
6,0.052612169689122266,1.3500339434955002,0,0
7,0.06323582901746476,1.0623659328342492,0,0
8,0.07149469654532307,0.8258867527858316,0,0
9,0.07344734605219043,0.19526495068673544,0,0
10,0.0839401071848921,1.0492761132701671,0,0
11,0.08939861136158513,0.5458504176693024,0,0
12,0.0942506963673154,0.48520850057302695,0,0
13,0.09458284422828504,0.033214786096964766,0,0
14,0.09679888295931811,0.2216038731033071,0,0
15,0.10056053275647,0.3761649797151892,0,0
16,0.10171329925952585,0.11527665030558465,0,0
17,0.10498224401285469,0.32689447533288396,0,0
18,0.10838999861720042,0.3407754604345725,0,0
19,0.10376415572341464,-0.46258428937857726,0,0
20,0.10614251457191645,0.23783588485018076,0,0
21,0.10233641885217003,-0.38060957197464246,0,0
22,0.10329806846862907,0.09616496164590455,0,0
23,0.09788620788469113,-0.5411860583937944,0,0
24,0.09732083592479979,-0.056537195989134204,0,0
25,0.09655985198787949,-0.07609839369202981,0,0
26,0.09172911197641577,-0.4830740011463719,0,0
27,0.09098511891269205,-0.07439930637237191,0,0
28,0.0879972110768232,-0.29879078358688443,0,0
29,0.08702425377298974,-0.09729573038334688,0,0
30,0.0830351958964295,-0.39890578765602314,0,0
31,0.08366168502366848,0.06264891272389772,0,0
32,0.08281695412323947,-0.0844730900429011,0,0
33,0.07931522420415962,-0.3501729919079849,0,0
34,0.07931385822617076,-0.00013659779888597345,0,0
35,0.07656265575112202,-0.27512024750487446,0,0
36,0.07443918926772371,-0.2123466483398312,0,0
37,0.07473038088707606,0.029119161935235727,0,0
38,0.0747221192749622,-0.0008261612113868999,0,0
39,0.07906057941008515,0.4338460135122957,0,0
40,0.07931323486055794,0.025265545047278848,0,0
41,0.07478374185160185,-0.45294930089560953,0,0
42,0.07417130153686036,-0.06124403147414886,0,0
43,0.07371030895571622,-0.04609925811441401,0,0
44,0.07286221155030377,-0.08480974054124457,0,0
45,0.07203951621887295,-0.08226953314308255,0,0
46,0.07693914946352925,0.48996332446563096,0,0
47,0.07220595473356839,-0.47331947299608657,0,0
48,0.07773375878212098,0.5527804048552589,0,0
49,0.07328903635140298,-0.4444722430718001,0,0
50,0.07841466892579906,0.5125632574396077,0,0
51,0.0796771627400547,0.12624938142556386,0,0
52,0.08008268741480266,0.040552467474797016,0,0
53,0.076355106969375,-0.3727580445427661,0,0
54,0.07790220219212936,0.1547095222754355,0,0
55,0.07606576837184044,-0.18364338202889186,0,0
56,0.07807668133589749,0.2010912964057046,0,0
57,0.07667112386628526,-0.14055574696122258,0,0
58,0.07448208812808567,-0.21890357381995906,0,0
59,0.07543959311086584,0.09575049827801746,0,0
60,0.077083994737655,0.1644401626789152,0,0
61,0.07645987396905968,-0.06241207685953182,0,0
62,0.07742783186573861,0.0967957896678931,0,0
63,0.07706419725520419,-0.036363461053441626,0,0
64,0.07698626795465839,-0.007792930054580094,0,0
65,0.08256248708751444,0.5576219132856053,0,0
66,0.0844485825824389,0.1886095494924453,0,0
67,0.07995535408581075,-0.4493228496628143,0,0
68,0.07939382947224326,-0.05615246135674962,0,0
69,0.08064801217085572,0.1254182698612466,0,0
70,0.07548982051507817,-0.515819165577755,0,0
71,0.08342877657721105,0.7938956062132879,0,0
72,0.07824842842531325,-0.5180348151897801,0,0
73,0.08105541984580658,0.28069914204933294,0,0
74,0.0774450416516658,-0.3610378194140784,0,0
75,0.07789902882024669,0.04539871685808883,0,0
76,0.07558439855419724,-0.23146302660494444,0,0
77,0.07527648225187858,-0.03079163023186615,0,0
78,0.08012519368891571,0.4848711437037134,0,0
79,0.07716183076140791,-0.2963362927507804,0,0
80,0.07841190701600521,0.12500762545973043,0,0
81,0.07564768407359437,-0.27642229424108405,0,0
82,0.07852748929658619,0.28798052229918186,0,0
83,0.07861867862819642,0.00911893316102308,0,0
84,0.07925030836272082,0.06316297345243943,0,0
85,0.08071036225662868,0.14600538939078672,0,0
86,0.07617257562663553,-0.4537786629993157,0,0
87,0.07686113931630777,0.06885636896722391,0,0
88,0.07460975847342759,-0.22513808428801796,0,0
89,0.07596428004476083,0.1354521571333242,0,0
90,0.07534037620673005,-0.062390383803077876,0,0
91,0.08100492746890119,0.5664551262171136,0,0
92,0.08144132124246244,0.043639377356125,0,0
93,0.07784636708045871,-0.35949541620037273,0,0
94,0.08278126736749636,0.49349002870376496,0,0
95,0.07847177315511367,-0.4309494212382692,0,0
96,0.08204470053112826,0.3572927376014598,0,0
97,0.0809880464361858,-0.10566540949424608,0,0
98,0.07742012604180411,-0.3567920394381696,0,0
99,0.07913752847073183,0.17174024289277195,0,0
100,0.08286305195245511,0.3725523481723281,0,0
101,0.078050856314263,-0.48121956381921016,0,0
102,0.0782404810939953,0.018962477973229197,0,0
103,0.080579029430899,0.23385483369036952,0,0
104,0.0772151066434805,-0.3363922787418497,0,0
105,0.07620459004919798,-0.1010516594282515,0,0
106,0.07703818120873099,0.08335911595330064,0,0
107,0.07814453370218348,0.11063524934524921,0,0
108,0.07852274197528127,0.03782082730977854,0,0
109,0.08031437084137359,0.17916288660923263,0,0
110,0.07546035948456672,-0.4854011356806867,0,0
111,0.07772971574843929,0.22693562638725628,0,0
112,0.07692716297165089,-0.08025527767883955,0,0
113,0.07634654928743621,-0.05806136842146786,0,0
114,0.07655697924195234,0.02104299545161309,0,0
115,0.07862855999886961,0.20715807569172684,0,0
116,0.07850202916628228,-0.012653083258733211,0,0
117,0.0772417204501682,-0.12603087161140863,0,0
118,0.08340692018431357,0.6165199734145379,0,0
119,0.08020984598046844,-0.31970742038451294,0,0
120,0.08245630699555459,0.22464610150861458,0,0
121,0.08012321490079821,-0.23330920947563782,0,0
122,0.08104744688107418,0.09242319802759691,0,0
123,0.08071614572204333,-0.03313011590308501,0,0
124,0.08303183566516519,0.23156899431218542,0,0
125,0.07675373717467929,-0.6278098490485897,0,0
126,0.08106084149777468,0.430710432309539,0,0
127,0.07989127994421076,-0.11695615535639164,0,0
128,0.08058609634114983,0.06948163969390658,0,0
129,0.07946228278282153,-0.11238135583283015,0,0
130,0.08349644268610748,0.40341599032859554,0,0
131,0.08203542487489955,-0.14610178112079292,0,0
132,0.08126976629924218,-0.07656585756573714,0,0
133,0.07967069117765868,-0.15990751215834986,0,0
134,0.08018104193179623,0.05103507541375507,0,0
135,0.07853781288378794,-0.16432290480082878,0,0
136,0.08023185250947226,0.16940396256843182,0,0
