Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v1_data
TIMESTAMP,20260223-233200
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.58918696641922
MGT,0.68
PRED_MU,0.4241088628768921
MU_GT,N/A
MASS_MAE,0.09081303358078008
MASS_NMAE_PCT,4.779633346356847
MASS_NRMSE_PCT,4.779633346356847
MASS_SMAPE_PCT,14.310426435750836
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
