Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223446
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,380
PRED_MASS_KG,0.5483410954475403
MGT,0.58
PRED_MU,0.37429237365722656
MU_GT,N/A
MASS_MAE,0.03165890455245968
MASS_NMAE_PCT,1.6662581343399832
MASS_NRMSE_PCT,1.6662581343399832
MASS_SMAPE_PCT,5.611584064462816
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
