Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223412
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,378
PRED_MASS_KG,0.6093636155128479
MGT,0.58
PRED_MU,0.4016665518283844
MU_GT,N/A
MASS_MAE,0.02936361551284794
MASS_NMAE_PCT,1.5454534480446287
MASS_NRMSE_PCT,1.5454534480446287
MASS_SMAPE_PCT,4.937701999600263
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
