Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.95_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v5_pinn
TIMESTAMP,20260223-223757
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,377
PRED_MASS_KG,0.7934659719467163
MGT,0.95
PRED_MU,0.44005531072616577
MU_GT,N/A
MASS_MAE,0.15653402805328365
MASS_NMAE_PCT,8.238633055435981
MASS_NRMSE_PCT,8.238633055435981
MASS_SMAPE_PCT,17.956648488929343
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
