Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.68_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-230135
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,381
PRED_MASS_KG,0.8831177353858948
MGT,0.68
PRED_MU,0.45387154817581177
MU_GT,N/A
MASS_MAE,0.20311773538589473
MASS_NMAE_PCT,10.690407125573408
MASS_NRMSE_PCT,10.690407125573408
MASS_SMAPE_PCT,25.98879544230237
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
