Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.5_w3
SMOOTHING_WINDOW,3
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225544
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,377
PRED_MASS_KG,0.5730603933334351
MGT,0.5
PRED_MU,0.43284380435943604
MU_GT,N/A
MASS_MAE,0.07306039333343506
MASS_NMAE_PCT,3.8452838596544767
MASS_NRMSE_PCT,3.8452838596544767
MASS_SMAPE_PCT,13.617200632384685
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
