Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.58_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225817
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,382
PRED_MASS_KG,0.8739264607429504
MGT,0.58
PRED_MU,0.4706724286079407
MU_GT,N/A
MASS_MAE,0.2939264607429505
MASS_NMAE_PCT,15.469813723313184
MASS_NRMSE_PCT,15.469813723313184
MASS_SMAPE_PCT,40.432094563126014
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
