Parameter,Value
RUN_ID,1
TIMESTAMP,20260305-004552
OBJECT,blue_cylinder
SURFACE,
SMOOTHING_WINDOW,1
TOTAL_STEPS,699
GLOBAL_IMPACT_STEP,376
CTX_START_ABS,353
CTX_END_ABS,453
INF_START_ABS,373
INF_END_ABS,433
