step_local,v_y,a_y,is_inference_region
0,0.07742510011169114,0.03782580773580707,0
1,0.07760286649155541,0.01777663798642748,0
2,0.07823158235336962,0.06287158618142052,0
3,0.07866949863106779,0.043791627769816655,0
4,0.07917984110782599,0.05103424767581993,0
5,0.07953258325242067,0.035274214459468656,0
6,0.07998418923088207,0.045160597846140293,0
7,0.0793409399465687,-0.06432492843133769,0
8,0.0783505586969871,-0.09903812495816039,0
9,0.07669948491813253,-0.1651073778854567,0
10,0.07599570946194749,-0.07037754561850379,0
11,0.07577686843890727,-0.02188410230402199,0
12,0.07607435144768307,0.02974830087758007,0
13,0.07692846178624156,0.0854110338558492,0
14,0.07829209274821439,0.13636309619728254,0
15,0.07950647656483713,0.12143838166227411,0
16,0.07999974703650434,0.04932704716672093,0
17,0.0794889302479466,-0.051081678855774415,0
18,0.07992056599927418,0.043163575132758314,0
19,0.07994345198676311,0.002288598748893811,0
20,0.07996891862223247,0.0025466635469359455,1
21,0.07916891492702274,-0.08000036952097306,1
22,0.07782401178966374,-0.13449031373590076,1
23,0.07572624044173483,-0.20977713479289062,1
24,0.07407219901810999,-0.16540414236248385,1
25,0.07236476112389299,-0.17074378942169982,1
26,0.07043350192007466,-0.1931259203818328,1
27,0.07062065241131778,0.018715049124311267,1
28,0.07041682258636958,-0.020382982494819568,1
29,0.07020287028157257,-0.021395230479701044,1
30,0.06993569278337561,-0.026717749819696324,1
31,0.07099395633127345,0.1058263547897842,1
32,0.07145280903863323,0.04588527073597776,1
33,0.07246971609060723,0.10169070519740059,1
34,0.07252834976702614,0.0058633676418909375,1
35,0.07330459548677776,0.07762457197516143,1
36,0.07305676282338731,-0.02478326633904432,1
37,0.0724100517936565,-0.06467110297308093,1
38,0.07248824975335652,0.007819795970001597,1
39,0.07320683520304357,0.07185854496870453,1
40,0.07464073845488588,0.14339032518423112,1
41,0.07706562866921216,0.2424890214326278,1
42,0.07945688641640145,0.23912577471892904,1
43,0.08147641738005769,0.20195309636562436,1
44,0.08216934604908745,0.06929286690297576,1
45,0.08230481676990092,0.0135470720813477,1
46,0.0813841400232325,-0.09206767466684168,1
47,0.08087469628905504,-0.05094437341774671,1
48,0.08013580988652971,-0.07388864025253267,1
49,0.08001523022299588,-0.012057966353383465,1
50,0.07989987771938853,-0.011535250360734939,1
51,0.08045471999581578,0.05548422764272559,1
52,0.07994417165276249,-0.051054834305329366,1
53,0.08008072429952892,0.01365526467664302,1
54,0.07975939136104515,-0.03213329384837704,1
55,0.0786456818036518,-0.11137095573933442,1
56,0.0777888370549517,-0.08568447487001113,1
57,0.07722713540445271,-0.05617016504989858,1
58,0.07703564970448909,-0.019148569996361997,1
59,0.07689513852457013,-0.014051117991896456,1
60,0.07814553817216188,0.12503996475917573,1
61,0.07813161635959402,-0.0013921812567860292,1
62,0.0787455413389811,0.061392497938707324,1
63,0.07822159259405521,-0.05239487449258812,1
64,0.07844396462714795,0.022237203309273534,1
65,0.07813460393657763,-0.03093606905703178,1
66,0.07809596431972099,-0.003863961685664219,1
67,0.07798523836061957,-0.011072595910141536,1
68,0.07834370738058584,0.03584690199662649,1
69,0.07835556811936803,0.0011860738782190627,1
70,0.07837173671773826,0.0016168598370225329,1
71,0.07793984065037915,-0.043189606735910546,1
72,0.07881564315949163,0.08758025091124833,1
73,0.08144457580411986,0.26289326446282263,1
74,0.08354013446128863,0.2095558657168775,1
75,0.08613388104412623,0.25937465828375916,1
76,0.09052010738244483,0.43862263383186023,1
77,0.09335060470876273,0.28304973263179045,1
78,0.09404595121841722,0.06953465096544847,1
79,0.09536921526266909,0.13232640442518706,1
80,0.09538756924629724,0.0018353983628149884,0
81,0.09399158046060879,-0.13959887856884456,0
82,0.09345515775801741,-0.05364227025913826,0
83,0.09171378103427688,-0.17413767237405287,0
84,0.09065369803790282,-0.10600829963740566,0
85,0.0885701579145415,-0.208354012336133,0
86,0.08787396177671128,-0.06961961378302156,0
87,0.08621881169551422,-0.1655150081197057,0
88,0.08558022102243083,-0.0638590673083389,0
89,0.08488158510146285,-0.06986359209679854,0
90,0.08552226627907183,0.06406811776089871,0
91,0.08436184591762784,-0.11604203614439951,0
92,0.08364548800739094,-0.07163579102369005,0
93,0.08322217553279102,-0.042331247459992394,0
94,0.0824653690321449,-0.07568065006461205,0
95,0.08132045330224053,-0.11449157299043694,0
96,0.0804214006323246,-0.08990526699159257,0
97,0.07973307845170616,-0.0688322180618442,0
98,0.07858641353791536,-0.11466649137907986,0
99,0.07733878878407915,-0.12476247538362045,0
