Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w5
SMOOTHING_WINDOW,5
VERSION_TAG,v1_data
TIMESTAMP,20260223-232626
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,384
PRED_MASS_KG,0.33850979804992676
MGT,0.35
PRED_MU,0.4442117214202881
MU_GT,N/A
MASS_MAE,0.01149020195007322
MASS_NMAE_PCT,0.6047474710564853
MASS_NRMSE_PCT,0.6047474710564853
MASS_SMAPE_PCT,3.337701796725925
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
