Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,nolid_cube_green_rub
OBJECT,nolid_cube
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.39_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-225342
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,373
PRED_MASS_KG,0.5744329690933228
MGT,0.39
PRED_MU,0.43360796570777893
MU_GT,N/A
MASS_MAE,0.18443296909332274
MASS_NMAE_PCT,9.706998373332777
MASS_NRMSE_PCT,9.706998373332777
MASS_SMAPE_PCT,38.246923322563475
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
