Parameter,Value
PURPOSE,inference
DATA_COLLECTION,0
CONDITION,blue_can_ycb_green_rub
OBJECT,blue_can_ycb
SURFACE,green_rub
EXPERIMENT_FOLDER,mgt0.35_w7
SMOOTHING_WINDOW,7
VERSION_TAG,v6_pinn
TIMESTAMP,20260223-230852
WINDOW_LEN,60
GLOBAL_IMPACT_STEP,383
PRED_MASS_KG,0.32270294427871704
MGT,0.35
PRED_MU,0.4546518623828888
MU_GT,N/A
MASS_MAE,0.027297055721282937
MASS_NMAE_PCT,1.4366871432254178
MASS_NRMSE_PCT,1.4366871432254178
MASS_SMAPE_PCT,8.115634383182693
MU_MAE,N/A
MU_NMAE_PCT,N/A
MU_NRMSE_PCT,N/A
MU_SMAPE_PCT,N/A
